card_last4;post_date;desc_raw;amount_brl;installment_seq;installment_tot;fx_rate;iof_brl;category;merchant_city;ledger_hash;prev_bill_amount;interest_amount;amount_orig;currency_orig;amount_usd
0000;2025-01-23;MP*OCEANDROP 05/06 111,18 ~g18 /04 FARMACIASAOJOAO;-0.15;0;0;0.00;0.00;AJUSTE;;f92c4b70f10f218a9179951ef06edf92ecd5ed21;0.00;0.00;0.00;;0.00
0000;2025-05-08;ADOBE 172,00 @1 6/06 RECARGAPAY*LEONA12/12;11.08;12;12;0.00;0.00;FX;;e11929f2102540870777d753ecf8be09108c43d8;0.00;0.00;0.00;;0.00
0000;2025-05-17;AMAZONMARKETPLACE01/06 54,52 @1 7/06 PICPAYLBLINTEGRA12/12;11.59;12;12;0.00;0.00;DIVERSOS;;b4602ae0922a29ea0e8029a62c49aeafec930025;0.00;0.00;0.00;;0.00
0000;2025-05-23;GoogleOne;2.50;0;0;0.00;0.00;DIVERSOS;;53e426dbb53ad9b4d48330d617eeda7dba00ed4c;0.00;0.00;0.00;;0.00
0000;2025-05-23;GoogleColab;58.00;0;0;0.00;0.00;DIVERSOS;;212357d79d5e714e2e90c0a63f478175aec7a9f7;0.00;0.00;0.00;;0.00
0000;2025-05-28;Vindi*Ceip;1044.00;0;0;0.00;0.00;FX;;1d9bce9b83487883cf68e8e3f9f9da6f490f150e;0.00;0.00;0.00;;0.00
0000;2025-05-28;Vindi*Ceip;1044.00;0;0;0.00;0.00;FX;;1d9bce9b83487883cf68e8e3f9f9da6f490f150e;0.00;0.00;0.00;;0.00
0000;2025-05-28;Vindi*Ceip;1044.00;0;0;0.00;0.00;FX;;1d9bce9b83487883cf68e8e3f9f9da6f490f150e;0.00;0.00;0.00;;0.00
0000;2025-05-28;ZP *ABP;2535.00;0;0;0.00;0.00;FX;;4dd18e557dd3d9b3eedc6b3a45a799a8ec718d16;0.00;0.00;0.00;;0.00
0000;2025-05-28;ZP *ABP;2535.00;0;0;0.00;0.00;FX;;4dd18e557dd3d9b3eedc6b3a45a799a8ec718d16;0.00;0.00;0.00;;0.00
0000;2025-05-28;Vindi*Ceip;-1044.00;0;0;0.00;0.00;FX;;48ccc8c03ae9d9f5462bccb98de2cfcafbb737cf;0.00;0.00;0.00;;0.00
0000;2025-05-28;Vindi*Ceip;-1044.00;0;0;0.00;0.00;FX;;48ccc8c03ae9d9f5462bccb98de2cfcafbb737cf;0.00;0.00;0.00;;0.00
0000;2025-05-30;ESTORNOACELERADORDEP;-797.25;0;0;0.00;0.00;AJUSTE;;a97f662d2ca9c0a4850f4b493349834e51e04325;0.00;0.00;0.00;;0.00
0000;2025-06-02;NEWMINDSTART.COM;-536.67;0;0;0.00;0.00;FX;;4fb0729d4cad7d20895992c6bc016439ccd71301;0.00;0.00;0.00;;0.00
0000;2025-06-02;NEWMINDSTART.COM;-534.00;0;0;0.00;0.00;FX;;1268c8cd460c485728e8f7c9add8cb36274981e0;0.00;0.00;0.00;;0.00
0000;2025-05-08;SPRED;60.14;0;0;0.00;0.00;DIVERSOS;;80f424b63f6c1508b77d829d43721573e21a3d27;0.00;0.00;0.00;;0.00
0000;2025-05-08;OPENAI*CHATGPTSUBSCR;120.40;0;0;0.00;0.00;FX;;0db197ec0d42c5149aa0fb0627d8c6b4f8457e4a;0.00;0.00;0.00;;0.00
0000;2025-05-13;PADDLE.NET*SETAPP;59.44;0;0;0.00;0.00;FX;;8c3806b54e7f8f3c67d4141388774ef00fbfd17c;0.00;0.00;0.00;;0.00
0000;2025-05-14;FS*daisydisk;52.54;0;0;0.00;0.00;FX;;5748cca486f92bae95c82f64ebae3642d0df491b;0.00;0.00;0.00;;0.00
0000;2025-05-19;OPENAI*CHATGPTSUBSCR;1194.00;0;0;0.00;0.00;FX;;e8b4b666dc0c89dfb7b7960f256ff19e42e24b0b;0.00;0.00;0.00;;0.00
0000;2025-05-25;WARPPROSUBSCRIPTION 108,54 Totaldeoutroslançamentos;760.38;0;0;0.00;0.00;DIVERSOS;;6b21be5be4f3ce03092cba29b3b5ac39d0dfb412;0.00;0.00;0.00;;0.00
0000;2025-10-16;STREETWEARCOMPAN09/10;65.97;9;10;0.00;0.00;DIVERSOS;;010a76243270948689f46d3d41299dae5debb4fa;0.00;0.00;0.00;;0.00
0000;2025-10-19;STREETWEARCOMPAN09/10;49.99;9;10;0.00;0.00;DIVERSOS;;32a1b05901530b15a70794f17d8010ddf97669f2;0.00;0.00;0.00;;0.00
0000;2025-12-21;297BFPFUN 07/10;137.97;7;10;0.00;0.00;DIVERSOS;;286afe8b2d50c3c2475175b86db8717c5ac2a954;0.00;0.00;0.00;;0.00
0000;2025-01-04;FARMACIASAOJOAO06/06;23.62;6;6;0.00;0.00;FARMÁCIA;;6a212cfb6f1d3abcec4da48227634984a1c14fee;0.00;0.00;0.00;;0.00
0000;2025-01-05;MERCADOLIVRE*MERCA06/10;67.11;6;10;0.00;0.00;FX;;7bbe28a4986a22129ce37054e14b5a4963b51060;0.00;0.00;0.00;;0.00
0000;2025-01-06;DM *TEMU06/06;65.88;6;6;0.00;0.00;FX;;f7cce8715b2c837f44fbe58e66d9f419adb8e3ae;0.00;0.00;0.00;;0.00
0000;2025-01-11;FARMACIASAOJOAO06/06;39.51;6;6;0.00;0.00;FARMÁCIA;;9d5603697a3cb92d36218551f28b93344ff406b5;0.00;0.00;0.00;;0.00
0000;2025-01-13;FARMACIASAOJOAO06/06;113.67;6;6;0.00;0.00;FARMÁCIA;;746c82b84704d91b828ad042d37deecb79af6341;0.00;0.00;0.00;;0.00
0000;2025-01-20;FARMACIASAOJOAO06/06;90.66;6;6;0.00;0.00;FARMÁCIA;;c9320892a5f536b0e1b89326bdab44472b1bc004;0.00;0.00;0.00;;0.00
